map_id,order,Tournament,Stage,Match Type,Match Name,Map,Team,Opponent,team_score,opp_score,diff_team_rating_career_avg,diff_team_rating_last5_avg,diff_team_acs_career_avg,diff_team_acs_last5_avg,diff_team_adr_career_avg,diff_team_adr_last5_avg,diff_team_hs_career_avg,diff_team_hs_last5_avg,diff_team_kast_career_avg,diff_team_kast_last5_avg,diff_team_fkd_career_avg,diff_team_fkd_last5_avg,diff_team_won_career_avg,diff_team_won_last5_avg,diff_team_roster_experience,diff_team_onmap_won_career_avg,diff_team_onmap_won_last5_avg,h2h_won_career_avg,h2h_maps_played_prior,team_onmap_maps_played_prior,won
12,12,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Fracture,FNATIC,BBL Esports,13,8,0.04850000000000043,0.04850000000000043,10.200000000000017,10.200000000000017,8.049999999999983,8.049999999999983,-0.6499999999999986,-0.6499999999999986,-4.75,-4.75,-1.15,-1.15,-0.75,-0.75,-3.0,,,0.0,1.0,0.0,1
12,12,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Fracture,BBL Esports,FNATIC,8,13,-0.04850000000000043,-0.04850000000000043,-10.200000000000017,-10.200000000000017,-8.049999999999983,-8.049999999999983,0.6499999999999986,0.6499999999999986,4.75,4.75,1.15,1.15,0.75,0.75,3.0,,,1.0,1.0,0.0,0
13,13,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Split,BBL Esports,FNATIC,13,10,-0.18359999999999999,-0.18359999999999999,-26.599999999999994,-26.599999999999994,-18.879999999999995,-18.879999999999995,4.199999999999999,4.199999999999999,-5.279999999999987,-5.279999999999987,-0.8,-0.8,0.09999999999999998,0.09999999999999998,3.0,,,0.5,2.0,0.0,1
13,13,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Split,FNATIC,BBL Esports,10,13,0.18359999999999999,0.18359999999999999,26.599999999999994,26.599999999999994,18.879999999999995,18.879999999999995,-4.199999999999999,-4.199999999999999,5.279999999999987,5.279999999999987,0.8,0.8,-0.09999999999999998,-0.09999999999999998,-3.0,,,0.5,2.0,0.0,0
14,14,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Haven,Karmine Corp,Team Vitality,5,13,0.1346666666666667,0.1346666666666667,6.564285714285717,6.564285714285717,3.25,3.25,3.892857142857146,3.892857142857146,7.692857142857136,7.692857142857136,-0.3333333333333333,-0.3333333333333333,0.16666666666666663,0.16666666666666663,3.0,,,,0.0,0.0,0
14,14,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Haven,Team Vitality,Karmine Corp,13,5,-0.1346666666666667,-0.1346666666666667,-6.564285714285717,-6.564285714285717,-3.25,-3.25,-3.892857142857146,-3.892857142857146,-7.692857142857136,-7.692857142857136,0.3333333333333333,0.3333333333333333,-0.16666666666666663,-0.16666666666666663,-3.0,,,,0.0,0.0,1
15,15,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Bind,Karmine Corp,Team Vitality,13,9,-0.11050000000000004,-0.11050000000000004,-32.04999999999998,-32.04999999999998,-18.80000000000001,-18.80000000000001,3.0,3.0,2.3999999999999915,2.3999999999999915,-2.75,-2.75,-0.5,-0.5,3.0,,,0.0,1.0,1.0,1
15,15,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Bind,Team Vitality,Karmine Corp,9,13,0.11050000000000004,0.11050000000000004,32.04999999999998,32.04999999999998,18.80000000000001,18.80000000000001,-3.0,-3.0,-2.3999999999999915,-2.3999999999999915,2.75,2.75,0.5,0.5,-3.0,,,1.0,1.0,0.0,0
16,16,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Abyss,Karmine Corp,Team Vitality,15,17,0.07419999999999993,0.07419999999999993,-4.099999999999994,-4.099999999999994,-3.180000000000007,-3.180000000000007,4.82,4.82,8.52000000000001,8.52000000000001,-1.04,-1.04,0.09999999999999998,0.09999999999999998,3.0,,,0.5,2.0,1.0,0
16,16,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Abyss,Team Vitality,Karmine Corp,17,15,-0.07419999999999993,-0.07419999999999993,4.099999999999994,4.099999999999994,3.180000000000007,3.180000000000007,-4.82,-4.82,-8.52000000000001,-8.52000000000001,1.04,1.04,-0.09999999999999998,-0.09999999999999998,-3.0,,,0.5,2.0,0.0,1
